Input,Output
"Event Description: IT WAS REPORTED THAT THE DEVICE HAD POWERED DOWN WHILE INFUSING. IT WAS NOTED DESCRIPTION 406 WAS FOUND ON THE EVENT LOG WITH AT LEAST A DOZEN ENTRIES IN ERROR LOG IN THE LAST 12 HOURS. THERE WAS PATIENT INVOLVEMENT, BUT THE OUTCOME WAS UNKNOWN. Manufacturer Narrative: BD TECHNICAL SUPPORT TROUBLESHOOT WITH CUSTOMER OVER THE PHONE. A FOLLOW UP REPORT WILL BE SUBMITTED WITH INVESTIGATION RESULTS SHOULD THE DEVICE BE REPAIRED OR THE DEVICE/LOGS BE RECEIVED FOR EVALUATION. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED REPRESENTS ALL OF THE KNOWN INFORMATION AT THIS TIME. THE COMPLAINANT OR REPORTER WAS UNABLE OR UNWILLING TO PROVIDE ANY FURTHER PATIENT, PRODUCT, OR PROCEDURAL DETAILS TO THE MANUFACTURER. ", Battery Problem
"Event Description: IT WAS REPORTED THAT THERE WAS FEW BENT SEARS. IT WAS OBSERVED DURING REMEDIATION. THERE WAS NO REPORTED PATIENT INVOLVEMENT. Manufacturer Narrative: PER 803.52(F)(11)(III) THE INFORMATION PROVIDED REPRESENTS ALL OF THE KNOWN INFORMATION AT THIS TIME. THE COMPLAINANT OR REPORTER WAS UNABLE OR UNWILLING TO PROVIDE ANY FURTHER PATIENT, PRODUCT, OR PROCEDURAL DETAILS TO THE MANUFACTURER. H3 OTHER TEXT : DEVICE WAS NOT RETURNED TO MANUFACTURING FACILITY.", Break
Event Description: IT WAS REPORTED THAT THE DEVICE HAD UNKNOWN / NOT PROVIDED ISSUE. THERE WAS NO REPORTED PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE., Break; Circuit Failure
Event Description: IT WAS REPORTED THAT THE DEVICE HAD FAILED PREVENTIVE MAINTENANCE. THERE WAS NO PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE., Break; Circuit Failure; Corroded; Crack
Event Description: IT WAS REPORTED THAT THE DEVICE HAD DISPLAYED AN ALARM - ERROR CODES / MESSAGES. THERE WAS NO PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE., Break; Contamination; Corroded; Crack; Device Sensing Problem
Event Description: IT WAS REPORTED THAT THE DEVICE WAS DAMAGED AND FAILED DURING PREVENTIVE MAINTENANCE. THERE WAS NO PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE., Break; Contamination; Corroded; Crack; Physical Resistance/Sticking
Event Description: IT WAS REPORTED THAT THE DEVICE HAD DOOR LATCH AND IUI CONNECTOR ISSUE. THERE WAS NO PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE., Break; Contamination; Crack
Event Description: IT WAS REPORTED THAT THE DEVICE HAD BEEN BROKEN / DAMAGED. THERE WAS NO PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE., Break; Contamination; Crack; Device Sensing Problem
Event Description: IT WAS REPORTED THAT THE DEVICE HAD BEEN BROKEN / DAMAGED. THERE WAS NO PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE., Break; Corroded
"Event Description: INFORMATION RECEIVED BY MEDTRONIC INDICATED THAT THE RESERVOIR HAD LEAK AND PASSED THE O RINGS. TROUBLESHOOTING WAS NOT PERFORMED. IT WAS REPORTED THAT THE CUSTOMER HAD LEAK BETWEEN RESERVOIR O-RINGS. NO HARM REQUIRING MEDICAL INTERVENTION WAS REPORTED. IT IS UNKNOWN WHETHER THE CUSTOMER WILL CONTINUE OR DISCONTINUE TO USE THE DEVICE AND THE RESERVOIR WILL NOT BE RETURNED FOR FAILURE ANALYSIS. Manufacturer Narrative: THIS MDR RELATED TO THE PUERTO RICO MANUFACTURING SITE HAS BEEN ASSIGNED A MEDWATCH NUMBER FROM THE MEDTRONIC MINIMED NORTHRIDGE SITE, PER VARIANCE 5. SELECT PATIENT INFORMATION CANNOT BE PROVIDED DUE TO REGIONAL PRIVACY REGULATIONS. CURRENTLY IT IS UNKNOWN WHETHER OR NOT THE DEVICE MAY HAVE CAUSED OR CONTRIBUTED TO THE EVENT AS NO PRODUCT HAS BEEN RETURNED. NO CONCLUSION CAN BE DRAWN AT THIS TIME. WE THEREFORE CONSIDER THIS REPORT COMPLETE TO THE BEST OF OUR KNOWLEDGE. MEDTRONIC, INC. (MEDTRONIC) IS SUBMITTING THIS REPORT TO COMPLY WITH 21 C.F.R. PART 803, THE MEDICAL DEVICE REPORTING REGULATION. THIS REPORT IS BASED UPON INFORMATION OBTAINED BY MEDTRONIC, WHICH THE COMPANY MAY NOT HAVE BEEN ABLE TO FULLY INVESTIGATE OR VERIFY PRIOR TO THE DATE THE REPORT WAS REQUIRED BY THE FDA. MEDTRONIC HAS MADE REASONABLE EFFORTS TO OBTAIN MORE COMPLETE INFORMATION IN THE TIME ALLOTTED AND HAS PROVIDED AS MUCH INFORMATION AS IS AVAILABLE TO THE COMPANY AS OF THE SUBMISSION DATE THIS REPORT. THIS REPORT DOES NOT CONSTITUTE AN ADMISSION OR A CONCLUSION BY FDA, MEDTRONIC, OR ITS EMPLOYEES THAT THE DEVICE, MEDTRONIC, OR ITS EMPLOYEES CAUSED OR CONTRIBUTED TO THE EVENT DESCRIBED IN THE REPORT. IN PARTICULAR, THIS REPORT DOES NOT CONSTITUTE AN ADMISSION BY ANYONE THAT THE PRODUCT DESCRIBED IN THIS REPORT HAS ANY ""DEFECTS"" OR HAS ""MALFUNCTIONED"". THESE WORDS ARE INCLUDED IN THE FDA 3500A FORM AND ARE FIXED ITEMS FOR SELECTION CREATED BY THE FDA, TO CATEGORIZE THE TYPE OF EVENT SOLELY FOR THE PURPOSE OF REPORTING PURSUANT TO PART 803. MEDTRONIC OBJECTS TO THE USE OF THESE WORDS AND OTHERS LIKE IT BECAUSE OF THE LACK OF DEFINITION AND THE CONNOTATIONS IMPLIED BY THESE TERMS. THIS STATEMENT SHOULD BE INCLUDED WITH ANY INFORMATION OR REPORT DISCLOSED TO THE PUBLIC UNDER THE FREEDOM OF INFORMATION ACT.", Break; Fluid/Blood Leak
"Event Description: IT WAS REPORTED THAT A FAILURE WAS OBSERVED DURING A PLANNED PREVENTATIVE MAINTENANCE, RECALL REMEDIATION, OR REPAIR ORDER SERVICE EVENT. [REPAIR MULTI-DEVICE];[REPAIR]. THERE WAS NO REPORTED PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE.", Break; Loose or Intermittent Connection
Event Description: IT WAS REPORTED THAT THE DEVICE HAD FAILS VOLUME AND PATIENT SIDE OCCLUSION. THERE WAS NO PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE., Calibration Problem
"Event Description: IT WAS REPORTED THAT THE DEVICE HAD FAILED PATIENT SIDE OCCLUSION AFTER REPLACING BEZEL AND PRESSURE SENSORS ALSO. THERE WAS NO PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III), THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE.", Calibration Problem
Event Description: IT WAS REPORTED THAT THE DEVICE HAD FAILED IN PREVENTIVE MAINTENANCE/CALIBRATION. THERE WAS NO PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE., Calibration Problem
"Event Description: IT WAS REPORTED THAT THE DEVICE HAD ERROR 260.4120. THERE WAS NO PATIENT INVOLVEMENT. Manufacturer Narrative: BD TECHNICAL SUPPORT TROUBLESHOOT WITH CUSTOMER OVER THE PHONE. A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED REPRESENTS ALL OF THE KNOWN INFORMATION AT THIS TIME. THE COMPLAINANT OR REPORTER WAS UNABLE OR UNWILLING TO PROVIDE ANY FURTHER PATIENT, PRODUCT, OR PROCEDURAL DETAILS TO THE MANUFACTURER. H3 OTHER TEXT : DEVICE WAS NOT RETURNED TO MANUFACTURING FACILITY.", Circuit Failure
"Event Description: IT WAS REPORTED THAT THE DEVICE HAD UNEXPECTED PUMP SHUT DOWN AND DISPLAYED COMMUNICATION ERROR, WOULD NOT CONNECT TO PCU. THERE WAS NO PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE.", Circuit Failure; Misassembled
"Event Description: HOLD FOR OK 11/29

IT WAS REPORTED THAT A SPECTRUM WIRELESS MODULE HAD A BATTERY ERROR /IMPROPER SHUTDOWN. THIS OCCURRED DURING TESTING IN THE BIOMEDICAL DEPARTMENT. THERE WAS NO PATIENT INVOLVEMENT. NO ADDITIONAL INFORMATION IS AVAILABLE. Manufacturer Narrative: SHOULD ADDITIONAL RELEVANT INFORMATION BECOME AVAILABLE, A SUPPLEMENTAL REPORT WILL BE SUBMITTED.", Complete Loss of Power
"Event Description: IT WAS REPORTED THAT A FAILURE WAS OBSERVED DURING A PLANNED PREVENTATIVE MAINTENANCE, RECALL REMEDIATION, OR REPAIR ORDER SERVICE EVENT. [DEPOT REPAIR];[BATTERY, HANDLE]. THERE WAS NO REPORTED PATIENT INVOLVEMENT. Manufacturer Narrative: A DEVICE HISTORY RECORD REVIEW IS PERFORMED ON EACH DEVICE REPORTED IN A MDR REPORTABLE EVENT ALONG WITH OTHER METHODS OF INVESTIGATION AS CODED IN SECTION H6 OF THIS MDR REPORT. PER 803.52(F)(11)(III) THE INFORMATION PROVIDED WAS OBTAINED FROM SERVICING ACTIVITIES PERFORMED ON THE DEVICE. THERE WERE NO ADDITIONAL DETAILS OBTAINABLE OR PROVIDED AT THE TIME OF SERVICE. H3 OTHER TEXT : SEE MANUFACTURER NARRATIVE.", Component Missing
"Event Description: IT WAS REPORTED THAT THE PUMP EXHIBITED A FIRMWARE MISMATCH. IT IS UNKNOWN IF THERE WAS PATIENT INVOLVEMENT, NO ADVERSE PATIENT EFFECTS WERE REPORTED. Manufacturer Narrative: OTHER TEXT: ONE DEVICE WAS RETURNED FOR ANALYSIS. VISUAL INSPECTION SHOWED A CRACKED ON THE TOP CASE AND THE RIGHT PLUNGER CASE WAS BROKEN ALONG WITH THE BARREL CLAMP HEAD. THE TAMPER SEAL WAS BROKEN. REVIEW OF THE EVENT HISTORY LOG (EHL) SHOWED FIRMWARE MISMATCH. THE DEVICE WAS POWERED ON AND A FUNCTIONAL TEST WAS PERFORMED AND THE REPORTED ISSUE WAS DUPLICATED. FIRMWARE MISMATCH ERROR WAS FOUND AT POWER UP AND WAS UNABLE TO BYPASS THE FIRMWARE MISMATCH ERROR FOLLOWING THE UPLOAD OF THE CONFIGURATION FROM BASE TO HEAD. THE REPORTED ISSUE WAS RELATED TO THE INTERCONNECT PCB, NOT OPERATING AS INTENDED. AS A RESULT, THE INTERCONNECT PCB WAS REPLACED AND PREVENTIVE MAINTENANCE WAS PERFORMED. A SERVICE HISTORY REVIEW IDENTIFIED THERE WAS NO INDICATION THAT THE COMPLAINT WAS RELATED TO A SERVICE OF THE DEVICE WITHIN THE REVIEW PERIOD. B3 UNKNOWN.", Computer Operating System Problem
